5,1000
10,1016
15,991
20,1029
25,976
30,984
35,981
40,944
45,953
50,924
55,951
60,997
65,991
70,958
75,978
80,941
85,981
90,900
95,973
100,977
105,953
110,921
115,962
120,905
125,963
130,941
135,942
140,921
145,922
150,977
155,907
160,945
165,895
170,958
175,969
180,876
185,907
190,966
195,948
200,949
205,904
210,901
215,837
220,924
225,888
230,868
235,913
240,914
245,910
250,925
255,879
260,852
265,888
270,877
275,881
280,842
285,860
290,856
295,829
300,875
305,909
310,872
315,892
320,896
325,891
330,909
335,836
340,884
345,935
350,851
355,833
360,892
365,932
370,908
375,879
380,879
385,858
390,873
395,832
400,861
405,864
410,909
415,855
420,830
425,868
430,793
435,853
440,824
445,897
450,913
455,880
460,844
465,847
470,841
475,925
480,854
485,864
490,806
495,872
500,858
505,860
510,860
515,906
520,852
525,909
530,893
535,899
540,870
545,908
550,888
555,893
560,883
565,890
570,902
575,918
580,884
585,882
590,906
595,887
600,866
605,862
610,841
615,881
620,925
625,875
630,903
635,932
640,867
645,862
650,877
655,887
660,917
665,918
670,937
675,923
680,938
685,923
690,932
695,948
700,916
705,893
710,961
715,970
720,910
725,906
730,873
735,1002
740,992
745,992
750,880
755,980
760,1002
765,1020
770,1080
775,990
780,1013
785,989
790,1070
795,984
800,1034
805,1025
810,1102
815,1081
820,1036
825,1086
830,1073
835,1032
840,1108
845,1076
850,1102
855,1127
860,1178
865,1133
870,1157
875,1205
880,1176
885,1265
890,1230
895,1234
900,1273
905,1310
910,1289
915,1378
920,1381
925,1409
930,1406
935,1447
940,1484
945,1512
950,1517
955,1580
960,1652
965,1640
970,1709
975,1713
980,1745
985,1848
990,1893
995,1932
1000,1878
1005,1944
1010,2105
1015,2264
1020,2281
1025,2344
1030,2448
1035,2460
1040,2380
1045,1135
1050,758
1055,646
1060,649
1065,586
1070,556
1075,522
1080,536
1085,545
1090,547
1095,509
1100,475
1105,511
1110,477
1115,422
1120,418
1125,394
1130,319
1135,288
1140,203
1145,186
1150,152
1155,136
1160,126
1165,92
1170,84
1175,61
1180,38
1185,32
1190,20
1195,11
1200,8
1205,4
1210,2
1215,0
1220,0
1225,0
1230,1
1235,0
1240,0
1245,0
1250,0
1255,18
1260,0
1265,0
1270,0
1275,0
1280,0
1285,0
1290,0
1295,0
1300,0
1305,0
1310,0
1315,0
1320,0
1325,0
1330,0
1335,0
1340,0
1345,0
1350,0
1355,0
1360,0
1365,0
1370,0
1375,0
1380,0
1385,0
1390,0
1395,0
1400,0
