ProtonEnergy_keV
0.1311848
0.8561011
0.0077041
0.0020238
0.0025190
0.0002845
0.0002342
0.0001212
0.0001115
0.0001530
0.0246512
0.0278277
0.3164677
0.5629993
0.0120248
0.0080794
0.0066399
0.0042604
0.0170613
0.0063979
0.0043162
0.0060971
0.0009328
0.0022902
0.0001785
0.0002178
0.9198274
0.0438111
0.0255467
0.0104182
0.0006140
0.0002994
0.4488175
0.2202951
0.0727092
0.2107442
0.6421423
0.1693723
0.0934747
0.0380788
0.0422878
0.0124381
0.0005953
0.0010919
0.0002383
0.0008060
0.6123174
0.0383595
0.2228919
0.0930070
0.0245385
0.0057087
0.5271913
0.0473388
0.0713586
0.2520159
0.0260610
0.0440236
0.0279956
0.0017559
0.0025199
0.0001485
0.6795361
0.2409102
0.0523263
0.0389142
0.9415951
0.0125808
0.0047724
0.0020115
0.0005017
0.1647785
0.0540145
0.3635987
0.3538826
0.0459362
0.0164516
0.0012803
0.0004004
0.0592657
0.0640341
0.0189452
0.7774995
0.0244029
0.0027451
0.0326204
0.0062143
0.0147759
0.1709318
0.3213902
0.4242520
0.0055403
0.0625687
0.0018077
0.0002204
0.8952893
0.0415026
0.0073396
0.0290575
0.0171325
0.0043192
0.0006532
0.0049463
0.0001213
0.0151606
0.1117654
0.5475571
0.2365347
0.0071289
0.0017798
0.0078478
0.0004730
0.0013424
0.0012419
0.0001677
0.2079853
0.6653656
0.0734695
0.0219645
0.0051061
0.0077671
0.0038436
0.0009894
0.0002455
0.0001936
0.3625909
0.5948796
0.0131462
0.0235878
0.0056429
0.0001482
0.0001341
0.0001706
0.9798601
0.0048963
0.0049204
0.0005878
0.0099652
0.0001027
0.0001117
0.6234005
0.0431880
0.6559158
0.2070721
0.0424312
0.0380473
0.0371645
0.0040096
0.0036044
0.0101062
0.0021346
0.9828213
0.0116265
0.0002001
0.0021481
0.0022414
0.0005115
0.0009399
0.0494359
0.0537014
0.4743142
0.2703684
0.1941579
0.0045215
0.0017799
0.0016708
0.4582962
0.2148792
0.0165633
0.1006904
0.1921495
0.0168730
0.0003331
0.0006690
0.8925717
0.0279252
0.0004407
0.0648140
0.0118971
0.0002558
0.0002014
0.0003178
0.0003870
0.0004689
0.0009771
0.0001143
0.9357234
